brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
,Kit 2 Tênis Masculino Prospect Fly Super Promoção + Relógio,149,90,104,93,4.2,(5)
FILA,Fila KR6 Masculino Adultos,317,70,31,,4.7,(352)
,Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta,144,90,14,08,4.4,(3686)
,Tênis Número Especial Esportivo Corrida E Academia 44-48,149,90,128,91,4.3,(79)
,Tenis Masculino Olim Academia Leve Confortavel Original Feet,109,99,98,99,4.5,(44)
,Tênis Polo Energy Masculino,78,97,26,32,4.5,(31)
FILA,Fila KR6 Masculino Adultos,317,70,31,,4.7,(352)
MIZUNO,Mizuno Wave Mirai 6 Masculino Adultos,437,70,43,,4.8,(11)
,Tênis Refletivo 12 Molas Masculino & Feminino Amortecimento ,102,90,34,30,4.4,(93)
,Kit 2 Tênis Masculino Prospect Ultra Varias Cores Leve Macio,139,90,34,98,,
OLYMPIKUS,Olympikus Wellness 2 Masculino Adultos,229,99,195,49,4.6,(62)
,"Tênis Masculino Olk Academia, Caminhada, Dia A Dia, Corrida",114,90,38,30,4.6,(9)
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,74,95,4.4,(1275)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,179,45,4.4,(1852)
,Tenis Sapatilha Neoprene Bike Pesca Unissex Top Promoção ,52,33,17,,4.6,(540)
ULTRABONE,Tênis Unissex Academia Leve Macio Basico Caminhada Fitness ,63,99,60,79,4.3,(7)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Cesr,134,60,13,08,4.6,(534)
LORENZZO LOPEZ,Tênis Masculino Para Academia E Corrida Super Macio E Leve,39,90,13,30,4.4,(25)
ON RUNNING,Tênis On Running The Roger Pro Masculino,1.249,99,124,,,
DM DAMANDO,Tênis Masculino Conforto Passeio/esporte + Relógio,77,90,25,97,4.3,(122)
EVERLAST,Tenis Everlast Versa  Masculino Preto Seua 179a,132,02,33,01,,
,Tênis Meia Masculino E Feminino Sem Cadarço Confortável,62,90,6,11,4.7,(229)
SKECHERS,Tênis Masculino Leve Macio Skechers Lançamento Go Run,396,75,39,67,,
FILA,Fila Float Maxxi 2 Pro Masculino Adultos,899,90,665,92,5.0,(9)
,Tenis Academia Masculino Corrida Caminhada West Boot Wave 20,92,77,30,92,4.2,(18)
MIZUNO,Tênis Mizuno Wave Mirai 6 Masculino Steel Academia,489,90,48,99,5.0,(4)
,Tênis Masculino Prospect Ultra Leve Macio Esportivo Academia,78,90,26,30,,
ON RUNNING,Tênis On Running Cloudgo Shale,699,90,69,99,5.0,(2)
PLAZA,Kit 2 Pares De Tênis Super Leve Plaza Neo Esportivo +relógio,149,90,14,57,4.2,(422)
OLYMPIKUS,Tenis Masculino Olympikus Delta 122 Esportivo,150,58,14,,5.0,(5)
MIZUNO,Tênis Mizuno Wave Mirai 6 Masculino Steel Treino,449,90,43,62,,
SPEEDO,Tênis Speedo Denver Spo100-4,217,80,21,17,,
,Tênis Chuky Linha Eco Nylon Espumado Ranclafe Preto/branco,159,90,144,,5.0,(5)
NEW BALANCE,New Balance Fresh Foam X 1080 V12 Masculino Adultos,999,90,739,92,5.0,(7)
OLYMPIKUS,Tênis Olympikus Wellness 2 Preto Unissex Pro,237,50,213,75,5.0,(2)
OLYMPIKUS,Olympikus Casual Triunfo 2 Masculino Adultos,279,99,148,39,4.8,(524)
,Tênis Esportivo Masculino Leve Confortável Academia Corrida,79,90,26,63,4.8,(6)
OLYMPIKUS,Tênis Olympikus Vertical Masculino,265,90,33,24,4.5,(6)
WEST,Kit 2 Tenis Masculino Cores Promoção Confortavel Treino Wave,164,77,32,95,4.3,(51)
MIZUNO,Mizuno Wave Falcon 5 Masculino Adultos,429,90,408,40,4.8,(43)
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,299,90,33,32,4.7,(547)
,Kit 3 Pares Tênis Lançamento Mega Leve Olymp Masculino Macio,204,90,34,15,4.6,(123)
OLYMPIKUS,Tênis Masculino Olympikus Corrida Macio Wellness Original,229,99,218,49,4.9,(13)
HOKA ONE ONE,Tênis Hoka Gaviota 5 Masculino Corrida Triathlon,1.449,99,144,,,
,Tenis Caminhada Tryd 8800 Academia Corrida Confortavel Macio,99,99,49,99,4.6,(153)
GALAXY,Tênis Masculino Caminhada Academia Leve Promoção Kit 3 Pares,176,90,17,19,4.4,(154)
EVOLTENN,Kit 3 Tênis Desportivo Solado Trançado Macio Envio Imadiato,189,90,180,40,4.4,(121)
,Tênis Masculino Advanced Run Caminhada Academia Corrida Leve,117,90,39,30,,
FILA,Tênis Fila Masculino Racer Comet Para Corrida 10km,329,90,31,98,,
,Tênis Masculino Esportivo Meia Academia Treino Confortável,89,90,29,97,,
,Tenis Hibrido Sapatilha Aquatica Neoprene Confortável Top,54,,18,,4.6,(51)
ASICS,Asics Shinobi Masculino Adultos,388,90,37,70,4.8,(40)
ADRUN,Tênis Esportivo Masculino Adrun Walk 8306m,140,91,126,90,4.7,(34)
OLYMPIKUS,Tênis Olympikus Masculino Voa 2 Original,299,90,33,32,,
OLYMPIKUS,Olympikus Caminhada Cygnus Masculino Adultos,189,90,31,65,4.8,(969)
FILA,Fila Classic Runner Masculino Adultos,259,90,32,49,4.7,(410)
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,99,90,94,90,4.4,(320)
MIZUNO,Tênis Mizuno Masculino Beta Lançamento!,369,98,177,59,4.3,(245)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,179,45,4.4,(1852)
OLYMPIKUS,Tênis Masculino Olympikus Clic Esportivo Calce Fácil,239,90,23,32,,
,Lançamento Tênis Chunky Snekeaer Couro Cano Medio ,189,90,171,20,4.8,(6)
OLYMPIKUS,Tênis Masculino E Feminino Reverso 2 Olympikus,379,99,279,99,4.7,(607)
EVOLTENN,Tênis Boost Masculino Evoltenn Esporte Casual Colmeia Treino,69,90,6,79,4.8,(4)
ON,Tênis On Running Cloudgo Corrida Masculino,699,90,69,,,
POLO BLU,Tênis Masculino Botinha Polo Blu Kit Carteira E Relogio !,99,90,9,71,4.4,(74)
,Tênis Unyeezy Academia Otimo P/ Dia A Dia Leve Confortavel,49,99,16,66,4.2,(121)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,70,99,4.5,(10949)
